Transparent|透明
Fort (Snow)|砦（雪）
Castle (Ruins, Snow)|城（廃墟・雪）
Castle (Ruins, Snow)|城（廃墟・雪）
Castle (Snow)|城（雪）
Castle (Snow)|城（雪）
Castle (Snow)|城（雪）
Castle (Snow)|城（雪）
Fort (Snow)|砦（雪）
Fort (Snow)|砦（雪）
Castle (Ruins, Snow)|城（廃墟・雪）
Castle (Ruins, Snow)|城（廃墟・雪）
Castle (Walled)|城（城壁）
Castle (Walled)|城（城壁）
Castle (Walled)|城（城壁）
Demon Castle|魔王城
Demon Castle|魔王城
Cursed Castle|呪われた城
Cursed Castle|呪われた城
Town C (Ruins)|町C（廃墟）
Castle (Walled)|城（城壁）
Castle (Walled)|城（城壁）
Castle (Walled)|城（城壁）
Demon Castle|魔王城
Demon Castle|魔王城
Cursed Castle|呪われた城
Cursed Castle|呪われた城
Town F (Ruins)|町F（廃墟）
Castle (Walled)|城（城壁）
Castle (Walled)|城（城壁）
Castle (Walled)|城（城壁）
Town A (Ruins)|町A（廃墟）
Town A (Ruins)|町A（廃墟）
Village A (Ruins)|村A（廃墟）
Village A (Ruins)|村A（廃墟）
House (Ruins)|家（廃墟）
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall (Gate)|城壁（城門）
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Barricades|バリケード
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Castle Wall|城壁
Lookout Post|やぐら
Floating Continent (Giant Tree)|浮遊大陸（大樹）
Floating Continent (Giant Tree)|浮遊大陸（大樹）
Floating Continent|浮遊大陸
Floating Continent|浮遊大陸
Floating Continent (Cloud)|浮遊大陸（雲）
Floating Continent (Cloud)|浮遊大陸（雲）
Cloud Land|雲の大地
Cloud Land|雲の大地
Floating Continent (Castle)|浮遊大陸（城）
Floating Continent (Castle)|浮遊大陸（城）
Floating Continent|浮遊大陸
Floating Continent|浮遊大陸
Floating Continent (Cloud)|浮遊大陸（雲）
Floating Continent (Cloud)|浮遊大陸（雲）
Cloud Land|雲の大地
Cloud Land|雲の大地
Floating Continent (Temple)|浮遊大陸（神殿）
Floating Continent (Temple)|浮遊大陸（神殿）
Floating Continent (Shadow)|浮遊大陸（影）
Floating Continent (Shadow)|浮遊大陸（影）
Cloud Land (Temple)|雲の大地（神殿）
Cloud Land (Temple)|雲の大地（神殿）
Cloud Land (Castle)|雲の大地（城）
Cloud Land (Castle)|雲の大地（城）
