Cup & Teapot (Bottom)|カップとポット（下）
Basket|バスケット
Rug|じゅうたん
Rug|じゅうたん
Rug|じゅうたん
Lab Equipment|実験器具
Stuffed Doll|ぬいぐるみ
Stuffed Doll|ぬいぐるみ
Stuffed Doll|ぬいぐるみ
Stuffed Doll|ぬいぐるみ
Stuffed Dolls|ぬいぐるみ
Stuffed Dolls|ぬいぐるみ
Gifts|プレゼント
Gifts|プレゼント
Shovel|スコップ
Pickax|つるはし
Rope|ロープ
Rope|ロープ
Pendant|ペンダント
Jewelry Case|宝石ケース
Necklace|ネックレス
Jewelry Case|宝石ケース
Sword|剣
Swords|剣
Swords|剣
Axes|斧
Spears|槍
Spears|槍
Whip|鞭
Knives|短剣
Cooking Utensils|調理器具
Dry Flowers|ドライフラワー
Shield|盾
Shield|盾
Men's Clothing (Hanging)|男物の服（壁掛け）
Men's Clothing (Hanging)|男物の服（壁掛け）
Women's Clothing (Hanging)|女物の服（壁掛け）
Women's Clothing (Hanging)|女物の服（壁掛け）
Sword Rack|剣掛台
Sword Rack|剣掛台
Hammers|ハンマー
Bows & Arrows|弓矢
Blacksmith's Table|金床
Blacksmith's Table|金床
Large Basin|水桶
Scrap Metal|鉄くず
Helmet|兜
Helmet|兜
Helmet|兜
Hat (Stand)|帽子（スタンド）
Hat (Stand)|帽子（スタンド）
Hat (Stand)|帽子（スタンド）
Women's Clothing (Stand)|女物の服（スタンド）
Dress (Stand)|ドレス（スタンド）
Armor (Stand)|鎧（スタンド）
Armor (Stand)|鎧（スタンド）
Armor (Stand)|鎧（スタンド）
Armor (Stand)|鎧（スタンド）
Men's Clothing (Stand)|男物の服（スタンド）
Cape (Stand)|マント（スタンド）
Robe (Stand)|ローブ（スタンド）
Robe (Stand)|ローブ（スタンド）
Church Symbol|教会のシンボル
Goddess Statue|女神像
Goddess Statue|女神像
Goddess Statue|女神像
Statue|石像
Dais|台座
Crate with Swords|剣の入った箱
Crate with Spears|槍の入った箱
Church Symbol|教会のシンボル
Goddess Statue|女神像
Goddess Statue|女神像
Goddess Statue|女神像
Statue|石像
Broken Statue|壊れた像
Crate with Swords|剣の入った箱
Crate with Spears|槍の入った箱
Church Table|教会机
Church Table|教会机
Church Table|教会机
Church Table|教会机
Decorative Pillar|装飾柱
Decorative Pillar|装飾柱
Decorative Pillar (Ruins)|装飾柱（廃墟）
Decorative Pillar (Ruins)|装飾柱（廃墟）
Church Table|教会机
Church Table|教会机
Church Table|教会机
Church Table|教会机
Decorative Pillar|装飾柱
Decorative Pillar|装飾柱
Decorative Pillar (Ruins)|装飾柱（廃墟）
Decorative Pillar (Ruins)|装飾柱（廃墟）
Gold Bricks|金の延べ棒
Gold Bricks|金の延べ棒
Silver Bricks|銀の延べ棒
Silver Bricks|銀の延べ棒
Decorative Pillar|装飾柱
Decorative Pillar|装飾柱
Decorative Pillar (Ruins)|装飾柱（廃墟）
Decorative Pillar (Ruins)|装飾柱（廃墟）
Monument|石碑
Monument|石碑
Demon Statue|悪魔像
Dragon Statue|竜像
Dragon Statue|竜像
Monument|石碑
Monument|石碑
Monument|石碑
Monument|石碑
Monument|石碑
Demon Statue|悪魔像
Dragon Statue|竜像
Dragon Statue|竜像
Monument|石碑
Monument|石碑
Monument|石碑
Railings|段差用手すり
Railings|段差用手すり
Railings|段差用手すり
Railings|段差用手すり
Railings|段差用手すり
Railings|段差用手すり
Railings|段差用手すり
Railings|段差用手すり
Banister (Wood)|階段用手すり（木）
Banister (Wood)|階段用手すり（木）
Banister (Stone)|階段用手すり（石）
Banister (Stone)|階段用手すり（石）
Banister (Temple)|階段用手すり（神殿）
Banister (Temple)|階段用手すり（神殿）
Banister (Castle)|階段用手すり（城）
Banister (Castle)|階段用手すり（城）
Banister (Wood)|階段用手すり（木）
Banister (Wood)|階段用手すり（木）
Banister (Stone)|階段用手すり（石）
Banister (Stone)|階段用手すり（石）
Banister (Temple)|階段用手すり（神殿）
Banister (Temple)|階段用手すり（神殿）
Banister (Castle)|階段用手すり（城）
Banister (Castle)|階段用手すり（城）
Banister (Wood)|階段用手すり（木）
Banister (Wood)|階段用手すり（木）
Banister (Stone)|階段用手すり（石）
Banister (Stone)|階段用手すり（石）
Banister (Temple)|階段用手すり（神殿）
Banister (Temple)|階段用手すり（神殿）
Banister (Castle)|階段用手すり（城）
Banister (Castle)|階段用手すり（城）
