ID	图块名	图集名	宽	高	X坐标	Y坐标	X偏移	Y偏移
58	土2	Outside_A2.png	32	32	32	96	0	0
59	土草地1	Outside_A2.png	32	32	64	96	0	0
60	土草地2	Outside_A2.png	32	32	96	96	0	0
61	土路1	Outside_A2.png	32	32	128	96	0	0
62	土路2	Outside_A2.png	32	32	160	96	0	0
63	雪石栏1	Outside_A2.png	32	32	192	96	0	0
64	雪石栏2	Outside_A2.png	32	32	224	96	0	0
65	枯草1	Outside_A2.png	32	32	256	96	0	0
66	枯草2	Outside_A2.png	32	32	288	96	0	0
67	雪框1	Outside_A2.png	32	32	320	96	0	0
68	雪框2	Outside_A2.png	32	32	352	96	0	0
69	石栏1	Outside_A2.png	32	32	384	96	0	0
70	石栏2	Outside_A2.png	32	32	416	96	0	0
71	灰1	Outside_A2.png	32	32	448	96	0	0
72	灰2	Outside_A2.png	32	32	480	96	0	0
73	土3	Outside_A2.png	32	32	0	128	0	0
74	土4	Outside_A2.png	32	32	32	128	0	0
75	土草地3	Outside_A2.png	32	32	64	128	0	0
76	土草地4	Outside_A2.png	32	32	96	128	0	0
77	土路3	Outside_A2.png	32	32	128	128	0	0
78	土路4	Outside_A2.png	32	32	160	128	0	0
79	雪石栏3	Outside_A2.png	32	32	192	128	0	0
80	雪石栏4	Outside_A2.png	32	32	224	128	0	0
81	枯草3	Outside_A2.png	32	32	256	128	0	0
82	枯草4	Outside_A2.png	32	32	288	128	0	0
83	雪框3	Outside_A2.png	32	32	320	128	0	0
84	雪框4	Outside_A2.png	32	32	352	128	0	0
85	石栏3	Outside_A2.png	32	32	384	128	0	0
86	石栏4	Outside_A2.png	32	32	416	128	0	0
87	灰3	Outside_A2.png	32	32	448	128	0	0
88	灰4	Outside_A2.png	32	32	480	128	0	0
89	土5	Outside_A2.png	32	32	0	160	0	0
90	土6	Outside_A2.png	32	32	32	160	0	0
91	土草地5	Outside_A2.png	32	32	64	160	0	0
92	土草地6	Outside_A2.png	32	32	96	160	0	0
93	土路5	Outside_A2.png	32	32	128	160	0	0
94	土路6	Outside_A2.png	32	32	160	160	0	0
95	雪石栏5	Outside_A2.png	32	32	192	160	0	0
96	雪石栏6	Outside_A2.png	32	32	224	160	0	0
97	枯草5	Outside_A2.png	32	32	256	160	0	0
98	枯草6	Outside_A2.png	32	32	288	160	0	0
99	雪框5	Outside_A2.png	32	32	320	160	0	0
100	雪框6	Outside_A2.png	32	32	352	160	0	0
101	石栏5	Outside_A2.png	32	32	384	160	0	0
102	石栏6	Outside_A2.png	32	32	416	160	0	0
103	灰5	Outside_A2.png	32	32	448	160	0	0
104	灰6	Outside_A2.png	32	32	480	160	0	0
105	沙1	Outside_A2.png	32	32	0	192	0	0
106	沙2	Outside_A2.png	32	32	32	192	0	0
107	沙草1	Outside_A2.png	32	32	64	192	0	0
108	沙草2	Outside_A2.png	32	32	96	192	0	0
109	沙路1	Outside_A2.png	32	32	128	192	0	0
110	沙路2	Outside_A2.png	32	32	160	192	0	0
111	砖框1	Outside_A2.png	32	32	192	192	0	0
112	砖框2	Outside_A2.png	32	32	224	192	0	0
113	浅草1	Outside_A2.png	32	32	256	192	0	0
114	浅草2	Outside_A2.png	32	32	288	192	0	0
115	坑1	Outside_A2.png	32	32	320	192	0	0
116	坑2	Outside_A2.png	32	32	352	192	0	0
117	石墙栏1	Outside_A2.png	32	32	384	192	0	0
118	石墙栏2	Outside_A2.png	32	32	416	192	0	0
119	嫩草1	Outside_A2.png	32	32	448	192	0	0
120	嫩草2	Outside_A2.png	32	32	480	192	0	0
121	沙3	Outside_A2.png	32	32	0	224	0	0
122	沙4	Outside_A2.png	32	32	32	224	0	0
123	沙草3	Outside_A2.png	32	32	64	224	0	0
124	沙草4	Outside_A2.png	32	32	96	224	0	0
125	沙路3	Outside_A2.png	32	32	128	224	0	0
126	沙路4	Outside_A2.png	32	32	160	224	0	0
127	砖框3	Outside_A2.png	32	32	192	224	0	0
128	砖框4	Outside_A2.png	32	32	224	224	0	0
129	浅草3	Outside_A2.png	32	32	256	224	0	0
130	浅草4	Outside_A2.png	32	32	288	224	0	0
131	坑3	Outside_A2.png	32	32	320	224	0	0
132	坑4	Outside_A2.png	32	32	352	224	0	0
133	石墙栏3	Outside_A2.png	32	32	384	224	0	0
134	石墙栏4	Outside_A2.png	32	32	416	224	0	0
135	嫩草3	Outside_A2.png	32	32	448	224	0	0
136	嫩草4	Outside_A2.png	32	32	480	224	0	0
137	沙5	Outside_A2.png	32	32	0	256	0	0
138	沙6	Outside_A2.png	32	32	32	256	0	0
139	沙草5	Outside_A2.png	32	32	64	256	0	0
140	沙草6	Outside_A2.png	32	32	96	256	0	0
141	沙路5	Outside_A2.png	32	32	128	256	0	0
142	沙路6	Outside_A2.png	32	32	160	256	0	0
143	砖框5	Outside_A2.png	32	32	192	256	0	0
144	砖框6	Outside_A2.png	32	32	224	256	0	0
145	浅草5	Outside_A2.png	32	32	256	256	0	0
146	浅草6	Outside_A2.png	32	32	288	256	0	0
147	坑5	Outside_A2.png	32	32	320	256	0	0
148	坑6	Outside_A2.png	32	32	352	256	0	0
149	石墙栏5	Outside_A2.png	32	32	384	256	0	0
150	石墙栏6	Outside_A2.png	32	32	416	256	0	0
151	嫩草5	Outside_A2.png	32	32	448	256	0	0
152	嫩草6	Outside_A2.png	32	32	480	256	0	0
153	雪1	Outside_A2.png	32	32	0	288	0	0
154	雪2	Outside_A2.png	32	32	32	288	0	0
155	雪地1	Outside_A2.png	32	32	64	288	0	0
156	雪地2	Outside_A2.png	32	32	96	288	0	0
157	雪路1	Outside_A2.png	32	32	128	288	0	0
158	雪路2	Outside_A2.png	32	32	160	288	0	0
159	草围1	Outside_A2.png	32	32	192	288	0	0
160	草围2	Outside_A2.png	32	32	224	288	0	0
161	雪草1	Outside_A2.png	32	32	256	288	0	0
162	雪草2	Outside_A2.png	32	32	288	288	0	0
163	地坑1	Outside_A2.png	32	32	320	288	0	0
164	地坑2	Outside_A2.png	32	32	352	288	0	0
165	雪围栏1	Outside_A2.png	32	32	384	288	0	0
166	雪围栏2	Outside_A2.png	32	32	416	288	0	0
167	水池1	Outside_A2.png	32	32	448	288	0	0
168	水池2	Outside_A2.png	32	32	480	288	0	0
169	雪3	Outside_A2.png	32	32	0	320	0	0
170	雪4	Outside_A2.png	32	32	32	320	0	0
171	雪地3	Outside_A2.png	32	32	64	320	0	0
172	雪地4	Outside_A2.png	32	32	96	320	0	0
173	雪路3	Outside_A2.png	32	32	128	320	0	0
174	雪路4	Outside_A2.png	32	32	160	320	0	0
175	草围3	Outside_A2.png	32	32	192	320	0	0
176	草围4	Outside_A2.png	32	32	224	320	0	0
177	雪草3	Outside_A2.png	32	32	256	320	0	0
178	雪草4	Outside_A2.png	32	32	288	320	0	0
179	地坑3	Outside_A2.png	32	32	320	320	0	0
180	地坑4	Outside_A2.png	32	32	352	320	0	0
181	雪围栏3	Outside_A2.png	32	32	384	320	0	0
182	雪围栏4	Outside_A2.png	32	32	416	320	0	0
183	水池3	Outside_A2.png	32	32	448	320	0	0
184	水池4	Outside_A2.png	32	32	480	320	0	0
185	雪5	Outside_A2.png	32	32	0	352	0	0
186	雪6	Outside_A2.png	32	32	32	352	0	0
187	雪地5	Outside_A2.png	32	32	64	352	0	0
188	雪地6	Outside_A2.png	32	32	96	352	0	0
189	雪路5	Outside_A2.png	32	32	128	352	0	0
190	雪路6	Outside_A2.png	32	32	160	352	0	0
191	草围5	Outside_A2.png	32	32	192	352	0	0
192	草围6	Outside_A2.png	32	32	224	352	0	0
193	雪草5	Outside_A2.png	32	32	256	352	0	0
194	雪草6	Outside_A2.png	32	32	288	352	0	0
195	地坑5	Outside_A2.png	32	32	320	352	0	0
196	地坑6	Outside_A2.png	32	32	352	352	0	0
197	雪围栏5	Outside_A2.png	32	32	384	352	0	0
198	雪围栏6	Outside_A2.png	32	32	416	352	0	0
199	水池5	Outside_A2.png	32	32	448	352	0	0
200	水池6	Outside_A2.png	32	32	480	352	0	0
201	红瓦1	Outside_A3.png	32	32	0	0	0	0
202	红瓦2	Outside_A3.png	32	32	32	0	0	0
203	黄瓦1	Outside_A3.png	32	32	64	0	0	0
204	黄瓦2	Outside_A3.png	32	32	96	0	0	0
205	绿瓦1	Outside_A3.png	32	32	128	0	0	0
206	绿瓦2	Outside_A3.png	32	32	160	0	0	0
207	蓝瓦1	Outside_A3.png	32	32	192	0	0	0
208	蓝瓦2	Outside_A3.png	32	32	224	0	0	0
209	朱瓦1	Outside_A3.png	32	32	256	0	0	0
210	朱瓦2	Outside_A3.png	32	32	288	0	0	0
211	花瓦1	Outside_A3.png	32	32	320	0	0	0
212	花瓦2	Outside_A3.png	32	32	352	0	0	0
213	灰瓦1	Outside_A3.png	32	32	384	0	0	0
214	灰瓦2	Outside_A3.png	32	32	416	0	0	0
215	铁瓦1	Outside_A3.png	32	32	448	0	0	0
216	铁瓦2	Outside_A3.png	32	32	480	0	0	0
217	红瓦3	Outside_A3.png	32	32	0	0	0	0
218	红瓦4	Outside_A3.png	32	32	32	0	0	0
219	黄瓦3	Outside_A3.png	32	32	64	0	0	0
220	黄瓦4	Outside_A3.png	32	32	96	0	0	0
221	绿瓦3	Outside_A3.png	32	32	128	0	0	0
222	绿瓦4	Outside_A3.png	32	32	160	0	0	0
223	蓝瓦3	Outside_A3.png	32	32	192	0	0	0
224	蓝瓦4	Outside_A3.png	32	32	224	0	0	0
225	朱瓦3	Outside_A3.png	32	32	256	0	0	0
226	朱瓦4	Outside_A3.png	32	32	288	0	0	0
227	花瓦3	Outside_A3.png	32	32	320	0	0	0
228	花瓦4	Outside_A3.png	32	32	352	0	0	0
229	灰瓦3	Outside_A3.png	32	32	384	0	0	0
230	灰瓦4	Outside_A3.png	32	32	416	0	0	0
231	铁瓦3	Outside_A3.png	32	32	448	0	0	0
232	铁瓦4	Outside_A3.png	32	32	480	0	0	0
233	墙1	Outside_A3.png	32	32	0	0	0	0
234	墙2	Outside_A3.png	32	32	32	0	0	0
235	石墙1	Outside_A3.png	32	32	64	0	0	0
236	石墙2	Outside_A3.png	32	32	96	0	0	0
237	灰石墙1	Outside_A3.png	32	32	128	0	0	0
238	灰石墙2	Outside_A3.png	32	32	160	0	0	0
239	砖墙1	Outside_A3.png	32	32	192	0	0	0
240	砖墙2	Outside_A3.png	32	32	224	0	0	0
241	红砖墙1	Outside_A3.png	32	32	256	0	0	0
242	红砖墙2	Outside_A3.png	32	32	288	0	0	0
243	小砖墙1	Outside_A3.png	32	32	320	0	0	0
244	小砖墙2	Outside_A3.png	32	32	352	0	0	0
245	灰石墙1	Outside_A3.png	32	32	384	0	0	0
246	会石墙2	Outside_A3.png	32	32	416	0	0	0
247	深木墙1	Outside_A3.png	32	32	448	0	0	0
248	深木墙2	Outside_A3.png	32	32	480	0	0	0
249	墙3	Outside_A3.png	32	32	0	0	0	0
250	墙4	Outside_A3.png	32	32	32	0	0	0
251	石墙3	Outside_A3.png	32	32	64	0	0	0
252	石墙4	Outside_A3.png	32	32	96	0	0	0
253	灰石墙3	Outside_A3.png	32	32	128	0	0	0
254	灰石墙4	Outside_A3.png	32	32	160	0	0	0
255	砖墙3	Outside_A3.png	32	32	192	0	0	0
256	砖墙4	Outside_A3.png	32	32	224	0	0	0
257	红砖墙3	Outside_A3.png	32	32	256	0	0	0
258	红砖墙4	Outside_A3.png	32	32	288	0	0	0
259	小砖墙3	Outside_A3.png	32	32	320	0	0	0
260	小砖墙4	Outside_A3.png	32	32	352	0	0	0
261	灰石墙2	Outside_A3.png	32	32	384	0	0	0
262	会石墙3	Outside_A3.png	32	32	416	0	0	0
263	深木墙3	Outside_A3.png	32	32	448	0	0	0
264	深木墙4	Outside_A3.png	32	32	480	0	0	0
265	木板顶1	Outside_A3.png	32	32	0	0	0	0
266	木板顶2	Outside_A3.png	32	32	32	0	0	0
267	木条顶1	Outside_A3.png	32	32	64	0	0	0
268	木条顶2	Outside_A3.png	32	32	96	0	0	0
269	木头顶1	Outside_A3.png	32	32	128	0	0	0
270	木头顶2	Outside_A3.png	32	32	160	0	0	0
271	草顶1	Outside_A3.png	32	32	192	0	0	0
272	草顶2	Outside_A3.png	32	32	224	0	0	0
273	砖顶1	Outside_A3.png	32	32	256	0	0	0
274	砖顶2	Outside_A3.png	32	32	288	0	0	0
275	布顶1	Outside_A3.png	32	32	320	0	0	0
276	布顶2	Outside_A3.png	32	32	352	0	0	0
277	雪草顶1	Outside_A3.png	32	32	384	0	0	0
278	雪草顶2	Outside_A3.png	32	32	416	0	0	0
279	雪顶1	Outside_A3.png	32	32	448	0	0	0
280	雪顶2	Outside_A3.png	32	32	480	0	0	0
281	木板顶3	Outside_A3.png	32	32	0	0	0	0
282	木板顶4	Outside_A3.png	32	32	32	0	0	0
283	木条顶3	Outside_A3.png	32	32	64	0	0	0
284	木条顶4	Outside_A3.png	32	32	96	0	0	0
285	木头顶3	Outside_A3.png	32	32	128	0	0	0
286	木头顶4	Outside_A3.png	32	32	160	0	0	0
287	草顶3	Outside_A3.png	32	32	192	0	0	0
288	草顶4	Outside_A3.png	32	32	224	0	0	0
289	砖顶3	Outside_A3.png	32	32	256	0	0	0
290	砖顶4	Outside_A3.png	32	32	288	0	0	0
291	布顶3	Outside_A3.png	32	32	320	0	0	0
292	布顶4	Outside_A3.png	32	32	352	0	0	0
293	雪草顶3	Outside_A3.png	32	32	384	0	0	0
294	雪草顶4	Outside_A3.png	32	32	416	0	0	0
295	雪顶3	Outside_A3.png	32	32	448	0	0	0
296	雪顶4	Outside_A3.png	32	32	480	0	0	0
297	木板墙1	Outside_A3.png	32	32	0	0	0	0
298	木板墙2	Outside_A3.png	32	32	32	0	0	0
299	木条墙1	Outside_A3.png	32	32	64	0	0	0
300	木条墙2	Outside_A3.png	32	32	96	0	0	0
301	木头墙1	Outside_A3.png	32	32	128	0	0	0
302	木头墙2	Outside_A3.png	32	32	160	0	0	0
303	草墙1	Outside_A3.png	32	32	192	0	0	0
304	草墙2	Outside_A3.png	32	32	224	0	0	0
305	石墙1	Outside_A3.png	32	32	256	0	0	0
306	石墙2	Outside_A3.png	32	32	288	0	0	0
307	布墙1	Outside_A3.png	32	32	320	0	0	0
308	布墙2	Outside_A3.png	32	32	352	0	0	0
309	雪木墙1	Outside_A3.png	32	32	384	0	0	0
310	雪木墙2	Outside_A3.png	32	32	416	0	0	0
311	雪灰木墙1	Outside_A3.png	32	32	448	0	0	0
312	雪灰木墙2	Outside_A3.png	32	32	480	0	0	0
313	木板墙3	Outside_A3.png	32	32	0	0	0	0
314	木板墙4	Outside_A3.png	32	32	32	0	0	0
315	木条墙3	Outside_A3.png	32	32	64	0	0	0
316	木条墙4	Outside_A3.png	32	32	96	0	0	0
317	木头墙3	Outside_A3.png	32	32	128	0	0	0
318	木头墙4	Outside_A3.png	32	32	160	0	0	0
319	草墙3	Outside_A3.png	32	32	192	0	0	0
320	草墙4	Outside_A3.png	32	32	224	0	0	0
321	石墙3	Outside_A3.png	32	32	256	0	0	0
322	石墙4	Outside_A3.png	32	32	288	0	0	0
323	布墙3	Outside_A3.png	32	32	320	0	0	0
324	布墙4	Outside_A3.png	32	32	352	0	0	0
325	雪木墙3	Outside_A3.png	32	32	384	0	0	0
326	雪木墙4	Outside_A3.png	32	32	416	0	0	0
327	雪灰木墙3	Outside_A3.png	32	32	448	0	0	0
328	雪灰木墙4	Outside_A3.png	32	32	480	0	0	0
329	招牌1	Outside_B.png	32	32	0	0	0	0
330	招牌2	Outside_B.png	32	32	32	0	0	0
331	招牌3	Outside_B.png	32	32	64	0	0	0
332	招牌4	Outside_B.png	32	32	96	0	0	0
333	招牌5	Outside_B.png	32	32	128	0	0	0
334	招牌6	Outside_B.png	32	32	160	0	0	0
335	招牌7	Outside_B.png	32	32	192	0	0	0
336	招牌8	Outside_B.png	32	32	224	0	0	0
337	松树1	Outside_B.png	32	32	256	0	0	0
338	松树2	Outside_B.png	32	32	288	0	0	0
339	松林1	Outside_B.png	32	32	320	0	0	0
340	松林2	Outside_B.png	32	32	352	0	0	0
341	雪稻草人	Outside_B.png	32	32	384	0	0	0
342	雪罐	Outside_B.png	32	32	416	0	0	0
343	雪盆	Outside_B.png	32	32	448	0	0	0
344	雪箱	Outside_B.png	32	32	480	0	0	0
345	招牌9	Outside_B.png	32	32	0	32	0	0
346	招牌10	Outside_B.png	32	32	32	32	0	0
347	招牌11	Outside_B.png	32	32	64	32	0	0
348	招牌12	Outside_B.png	32	32	96	32	0	0
349	招牌13	Outside_B.png	32	32	128	32	0	0
350	招牌14	Outside_B.png	32	32	160	32	0	0
351	招牌15	Outside_B.png	32	32	192	32	0	0
352	招牌16	Outside_B.png	32	32	224	32	0	0
353	松树3	Outside_B.png	32	32	256	32	0	0
354	松树4	Outside_B.png	32	32	288	32	0	0
355	松林3	Outside_B.png	32	32	320	32	0	0
356	松林4	Outside_B.png	32	32	352	32	0	0
357	雪石	Outside_B.png	32	32	384	32	0	0
358	雪牌1	Outside_B.png	32	32	416	32	0	0
359	雪牌2	Outside_B.png	32	32	448	32	0	0
360	雪藤	Outside_B.png	32	32	480	32	0	0
361	桥面1	Outside_B.png	32	32	0	64	0	0
362	桥面2	Outside_B.png	32	32	32	64	0	0
363	桥面3	Outside_B.png	32	32	64	64	0	0
364	桥面4	Outside_B.png	32	32	96	64	0	0
365	桥面5	Outside_B.png	32	32	128	64	0	0
366	桥面6	Outside_B.png	32	32	160	64	0	0
367	桥面7	Outside_B.png	32	32	192	64	0	0
368	桥面8	Outside_B.png	32	32	224	64	0	0
369	雪烟囱	Outside_B.png	32	32	256	64	0	0
370	雪路牌	Outside_B.png	32	32	288	64	0	0
371	雪门牌	Outside_B.png	32	32	320	64	0	0
372	雪井	Outside_B.png	32	32	352	64	0	0
373	雪路	Outside_B.png	32	32	384	64	0	0
374	雪桶	Outside_B.png	32	32	416	64	0	0
375	雪墓地	Outside_B.png	32	32	448	64	0	0
376	雪墓碑	Outside_B.png	32	32	480	64	0	0
377	桥墩1	Outside_B.png	32	32	0	96	0	0
378	桥墩2	Outside_B.png	32	32	32	96	0	0
379	桥墩3	Outside_B.png	32	32	64	96	0	0
380	桥墩4	Outside_B.png	32	32	96	96	0	0
381	桥墩5	Outside_B.png	32	32	128	96	0	0
382	桥墩6	Outside_B.png	32	32	160	96	0	0
383	桥墩7	Outside_B.png	32	32	192	96	0	0
384	桥墩8	Outside_B.png	32	32	224	96	0	0
385	雪菜1	Outside_B.png	32	32	256	96	0	0
386	雪菜2	Outside_B.png	32	32	288	96	0	0
387	雪菜3	Outside_B.png	32	32	320	96	0	0
388	雪菜4	Outside_B.png	32	32	352	96	0	0
389	雪木桩	Outside_B.png	32	32	384	96	0	0
390	雪杉树1	Outside_B.png	32	32	416	96	0	0
391	雪杉林1	Outside_B.png	32	32	448	96	0	0
392	雪石块1	Outside_B.png	32	32	480	96	0	0
393	小窗1	Outside_B.png	32	32	0	128	0	0
394	小窗2	Outside_B.png	32	32	32	128	0	0
395	小窗3	Outside_B.png	32	32	64	128	0	0
396	小窗4	Outside_B.png	32	32	96	128	0	0
397	小窗5	Outside_B.png	32	32	128	128	0	0
398	小窗6	Outside_B.png	32	32	160	128	0	0
399	小窗7	Outside_B.png	32	32	192	128	0	0
400	小窗8	Outside_B.png	32	32	224	128	0	0
401	雪人	Outside_B.png	32	32	256	128	0	0
402	雪坑	Outside_B.png	32	32	288	128	0	0
403	雪木材	Outside_B.png	32	32	320	128	0	0
404	雪蘑菇	Outside_B.png	32	32	352	128	0	0
405	雪木头	Outside_B.png	32	32	384	128	0	0
406	雪杉树2	Outside_B.png	32	32	416	128	0	0
407	雪杉树3	Outside_B.png	32	32	448	128	0	0
408	雪石块2	Outside_B.png	32	32	480	128	0	0
409	小窗9	Outside_B.png	32	32	0	160	0	0
410	小窗10	Outside_B.png	32	32	32	160	0	0
411	小窗11	Outside_B.png	32	32	64	160	0	0
412	小窗12	Outside_B.png	32	32	96	160	0	0
413	小窗13	Outside_B.png	32	32	128	160	0	0
414	小窗14	Outside_B.png	32	32	160	160	0	0
415	小窗15	Outside_B.png	32	32	192	160	0	0
416	小窗16	Outside_B.png	32	32	224	160	0	0
417	枯树1	Outside_B.png	32	32	256	160	0	0
418	枯林	Outside_B.png	32	32	288	160	0	0
419	香菇	Outside_B.png	32	32	320	160	0	0
420	蘑菇	Outside_B.png	32	32	352	160	0	0
421	椰树1	Outside_B.png	32	32	384	160	0	0
422	小椰树	Outside_B.png	32	32	416	160	0	0
423	仙人掌	Outside_B.png	32	32	448	160	0	0
424	枯草1	Outside_B.png	32	32	480	160	0	0
425	大窗1	Outside_B.png	32	32	0	192	0	0
426	大窗2	Outside_B.png	32	32	32	192	0	0
427	大窗3	Outside_B.png	32	32	64	192	0	0
428	大窗4	Outside_B.png	32	32	96	192	0	0
429	大窗5	Outside_B.png	32	32	128	192	0	0
430	大窗6	Outside_B.png	32	32	160	192	0	0
431	大窗7	Outside_B.png	32	32	192	192	0	0
432	大窗8	Outside_B.png	32	32	224	192	0	0
433	枯树2	Outside_B.png	32	32	256	192	0	0
434	枯灌木	Outside_B.png	32	32	288	192	0	0
435	大花	Outside_B.png	32	32	320	192	0	0
436	绿木墩	Outside_B.png	32	32	352	192	0	0
437	椰树2	Outside_B.png	32	32	384	192	0	0
438	花灌木	Outside_B.png	32	32	416	192	0	0
439	菠萝	Outside_B.png	32	32	448	192	0	0
440	枯草2	Outside_B.png	32	32	480	192	0	0
441	大窗9	Outside_B.png	32	32	0	224	0	0
442	大窗10	Outside_B.png	32	32	32	224	0	0
443	大窗11	Outside_B.png	32	32	64	224	0	0
444	大窗12	Outside_B.png	32	32	96	224	0	0
445	大窗13	Outside_B.png	32	32	128	224	0	0
446	大窗14	Outside_B.png	32	32	160	224	0	0
447	大窗15	Outside_B.png	32	32	192	224	0	0
448	大窗16	Outside_B.png	32	32	224	224	0	0
449	草堆	Outside_B.png	32	32	256	224	0	0
450	雪草堆	Outside_B.png	32	32	288	224	0	0
451	花簇	Outside_B.png	32	32	320	224	0	0
452	枯草	Outside_B.png	32	32	352	224	0	0
453	落叶	Outside_B.png	32	32	384	224	0	0
454	莲叶	Outside_B.png	32	32	416	224	0	0
455	莲花	Outside_B.png	32	32	448	224	0	0
456	连叶1	Outside_B.png	32	32	480	224	0	0
457	烟囱	Outside_B.png	32	32	0	256	0	0
458	铁墩	Outside_B.png	32	32	32	256	0	0
459	铁墩1	Outside_B.png	32	32	64	256	0	0
460	门影1	Outside_B.png	32	32	96	256	0	0
461	门影2	Outside_B.png	32	32	128	256	0	0
462	门影3	Outside_B.png	32	32	160	256	0	0
463	门影4	Outside_B.png	32	32	192	256	0	0
464	门影5	Outside_B.png	32	32	224	256	0	0
465	藤1	Outside_B.png	32	32	256	256	0	0
466	枯藤1	Outside_B.png	32	32	288	256	0	0
467	绿藤1	Outside_B.png	32	32	320	256	0	0
468	绿苔1	Outside_B.png	32	32	352	256	0	0
469	裂缝1	Outside_B.png	32	32	384	256	0	0
470	裂缝2	Outside_B.png	32	32	416	256	0	0
471	裂缝3	Outside_B.png	32	32	448	256	0	0
472	裂缝4	Outside_B.png	32	32	480	256	0	0
473	烟囱	Outside_B.png	32	32	0	288	0	0
474	路标	Outside_B.png	32	32	32	288	0	0
475	门牌	Outside_B.png	32	32	64	288	0	0
476	井	Outside_B.png	32	32	96	288	0	0
477	路	Outside_B.png	32	32	128	288	0	0
478	木桶	Outside_B.png	32	32	160	288	0	0
479	墓地	Outside_B.png	32	32	192	288	0	0
480	墓碑	Outside_B.png	32	32	224	288	0	0
481	藤2	Outside_B.png	32	32	256	288	0	0
482	枯藤2	Outside_B.png	32	32	288	288	0	0
483	绿藤2	Outside_B.png	32	32	320	288	0	0
484	绿苔2	Outside_B.png	32	32	352	288	0	0
485	裂缝5	Outside_B.png	32	32	384	288	0	0
486	裂缝6	Outside_B.png	32	32	416	288	0	0
487	裂缝7	Outside_B.png	32	32	448	288	0	0
488	裂缝8	Outside_B.png	32	32	480	288	0	0
489	罐	Outside_B.png	32	32	0	320	0	0
490	桶	Outside_B.png	32	32	32	320	0	0
491	水桶	Outside_B.png	32	32	64	320	0	0
492	石堆	Outside_B.png	32	32	96	320	0	0
493	火堆	Outside_B.png	32	32	128	320	0	0
494	牌1	Outside_B.png	32	32	160	320	0	0
495	牌2	Outside_B.png	32	32	192	320	0	0
496	藤草	Outside_B.png	32	32	224	320	0	0
497	帐篷1	Outside_B.png	32	32	256	320	0	0
498	帐篷2	Outside_B.png	32	32	288	320	0	0
499	帐篷3	Outside_B.png	32	32	320	320	0	0
500	路灯1	Outside_B.png	32	32	352	320	0	0
501	石台阶1	Outside_B.png	32	32	384	320	0	0
502	石台阶2	Outside_B.png	32	32	416	320	0	0
503	木台阶1	Outside_B.png	32	32	448	320	0	0
504	木台阶2	Outside_B.png	32	32	480	320	0	0
505	菜1	Outside_B.png	32	32	0	352	0	0
506	菜2	Outside_B.png	32	32	32	352	0	0
